event,index,time,kinetic_energy,dt_limit,ppe_rhs_max,capillary_face_linf,capillary_jump_linf,div_u_max,advective_rate,reinit_linf_delta
ppe_rhs_gt_1e8,2445,0.017973713704236702,0.00028498648162991947,7.222033993137279e-06,110207391.5034601,9348.724850876772,2049.6410828168973,2.1619783510118395e-05,3400.685956627867,0.0013627051542450808
ke_gt_1e3,2449,0.01800260005293763,0.0017642863794270322,7.221317625025765e-06,375003937.6094224,26081.595030490535,1927.9854568316769,1.766050272067332e-05,4403.475973679346,0.004306429078377638
ke_gt_1e2,2451,0.01801704219646321,0.014733848132743714,7.220974424671203e-06,962078589.035734,67157.40208164408,1766.1921885573636,5.397380954264008e-05,6614.04323427835,0.010177181099622179
ke_gt_1,2454,0.018030835407558458,3.0615158797436037,1.8976779577847737e-06,38566972347.34512,3439543.749032128,3291.8721299828053,0.0008154668494171347,52695.98015288828,0.03393254211227581
div_gt_1e3,2455,0.018031748731785046,9.710819836849062,9.133242265883348e-07,161835825622.78613,13663333.20976798,3064.1930634791547,0.0017116270046244608,109490.14280891651,0.03463034784254759
dt_lt_1e7,2460,0.018032888628460097,1675.8307564969691,6.459491076313168e-08,34372103201380.887,2576628767.361473,3545.6674726945193,0.0232246111263521,1548109.5773426814,0.035288266190693696
