candidate,density_ratio,shift_cells,current_rate,history_rate,history_minus_current_rate,ke,linf
conservative_velocity_imex,100.0,0.25,-2.1984614349013002e-17,0.007446318927805694,0.0074463189278057154,12.625,3.146183125232837
current_only_conservative_velocity,100.0,0.25,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
consistent_momentum_history,100.0,0.25,-2.1984614349013002e-17,0.007379681630070214,0.0073796816300702355,12.625,220.95127161750378
current_only_momentum,100.0,0.25,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
baseline_velocity_uccd6_imex,100.0,0.5,-2.8278027667107174e-07,0.014988146565634906,0.014988429345911576,12.625,3.201956920791828
current_only_uccd6,100.0,0.5,-2.8278027667107174e-07,-2.8278027667107174e-07,0.0,12.625,3.1415921006976446
conservative_velocity_imex,100.0,0.5,-2.1984614349013002e-17,0.014967384932539757,0.01496738493253978,12.625,3.190760452240093
current_only_conservative_velocity,100.0,0.5,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
consistent_momentum_history,100.0,0.5,-2.1984614349013002e-17,0.014741584960709877,0.014741584960709899,12.625,230.5556691975739
current_only_momentum,100.0,0.5,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
baseline_velocity_uccd6_imex,100.0,1.0,-2.8278027667107174e-07,0.02998735768299781,0.02998764046327448,12.625,3.5834641949976898
current_only_uccd6,100.0,1.0,-2.8278027667107174e-07,-2.8278027667107174e-07,0.0,12.625,3.1415921006976446
conservative_velocity_imex,100.0,1.0,-2.1984614349013002e-17,0.029944972614638313,0.029944972614638334,12.625,3.5734753641387544
current_only_conservative_velocity,100.0,1.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,3.1316579303623673
consistent_momentum_history,100.0,1.0,-2.1984614349013002e-17,0.029341200399678035,0.029341200399678056,12.625,258.2094817399318
current_only_momentum,100.0,1.0,-2.1984614349013002e-17,-2.1984614349013002e-17,0.0,12.625,221.86476519468508
baseline_velocity_uccd6_imex,833.3333333333334,0.0,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
current_only_uccd6,833.3333333333334,0.0,-2.8278027662930275e-07,-2.8278027662930275e-07,0.0,104.29166666666666,3.1415921006976446
conservative_velocity_imex,833.3333333333334,0.0,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
current_only_conservative_velocity,833.3333333333334,0.0,-3.193609978945716e-17,-3.193609978945716e-17,0.0,104.29166666666666,3.1319708707176037
consistent_momentum_history,833.3333333333334,0.0,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
current_only_momentum,833.3333333333334,0.0,-1.2774439915782865e-17,-1.2774439915782865e-17,0.0,104.29166666666666,1842.1865485548783
