grid_name,density_name,operator_name,history_name,n_effective,ke,unit_power,rho_power,density_correction,paired_power,cross_prev_rho_power,imex_rho_power,imex_paired_power,current_linf,imex_linf,normalized_paired_rate,normalized_imex_rate
periodic_uniform,constant,ccd,shift=0.023125,16,0.25,-1.2897303612834273e-18,-1.2897303612834273e-18,-7.703719777548943e-34,-1.2897303612834281e-18,-2.0816681711721685e-17,3.2959746043559335e-17,3.2959746043559335e-17,3.141591367158157,3.2733091842573097,-5.1589214451337124e-18,1.3183898417423734e-16
periodic_uniform,constant,uccd6,shift=0.023125,16,0.25,-9.04900207082469e-06,-9.04900207082469e-06,-7.703719777548943e-34,-9.04900207082469e-06,-8.85930286098971e-06,-9.238701280613396e-06,-9.238701280613396e-06,3.141556611855782,3.2732745368497587,-3.619600828329876e-05,-3.695480512245358e-05
periodic_uniform,constant,fccd_flux,shift=0.023125,16,0.25,-5.8273507877514556e-18,-5.8273507877514556e-18,-7.703719777548943e-34,-5.827350787751456e-18,-8.673617379884035e-18,1.0408340855860843e-17,1.0408340855860843e-17,3.0465300752755766,3.1742622480327234,-2.3309403151005825e-17,4.163336342344337e-17
periodic_uniform,constant,fccd_nodal,shift=0.023125,16,0.25,-2.7104853830089153e-18,-2.7104853830089153e-18,-7.703719777548943e-34,-2.710485383008916e-18,-8.673617379884035e-19,-5.204170427930421e-18,-5.204170427930422e-18,3.1401536591081585,3.2718111972773527,-1.0841941532035664e-17,-2.0816681711721688e-17
periodic_uniform,smooth_mild,ccd,shift=0.023125,16,0.25,-1.2897303612834273e-18,8.890457814381136e-18,-4.336808689942018e-18,4.553649124439119e-18,-0.0034007071113263017,0.00340070711132634,0.0034007071113263355,3.141591367158157,3.2733091842573097,1.8214596497756474e-17,0.013602828445305342
periodic_uniform,smooth_mild,uccd6,shift=0.023125,16,0.25,-9.04900207082469e-06,-9.0490020708189e-06,-4.336808689942018e-18,-9.049002070823237e-06,-0.0034095149395723338,0.0033914169354307393,0.003391416935430735,3.141556611855782,3.2732745368497587,-3.6196008283292946e-05,0.01356566774172294
periodic_uniform,smooth_mild,fccd_flux,shift=0.023125,16,0.25,-5.8273507877514556e-18,1.5178830414797062e-18,-4.336808689942018e-18,-2.8189256484623115e-18,-0.003297805246145341,0.0032978052461453454,0.003297805246145341,3.0465300752755766,3.1742622480327234,-1.1275702593849246e-17,0.013191220984581364
periodic_uniform,smooth_mild,fccd_nodal,shift=0.023125,16,0.25,-2.7104853830089153e-18,1.3877787807814457e-17,-4.336808689942018e-18,9.540979117872439e-18,-0.003399150822357335,0.0033991508223573464,0.003399150822357342,3.1401536591081585,3.2718111972773527,3.8163916471489756e-17,0.013596603289429368
periodic_uniform,smooth_high_ratio,ccd,shift=0.023125,16,125.15,-1.2897303612834273e-18,-8.881784197001252e-16,3.9968028886505635e-15,3.1086244689504383e-15,-2.8305218856605947,2.830521885660609,2.830521885660613,3.141591367158157,3.2733091842573097,2.4839188725133346e-17,0.02261703464371245
periodic_uniform,smooth_high_ratio,uccd6,shift=0.023125,16,125.15,-9.04900207082469e-06,-0.0045299304366539506,3.9968028886505635e-15,-0.004529930436649954,-2.8349140086349696,2.8258541477616674,2.8258541477616714,3.141556611855782,3.2732745368497587,-3.6196008283259716e-05,0.022579737497096856
