step,mass_a,mass_b,mass_diff,clip_low_a,clip_low_b,clip_high_a,clip_high_b,max_abs,max_rel,l2_abs
20,9.7080073280433798e-01,9.7080073280433798e-01,0.000e+00,0,0,749,749,0.000000e+00,0.000000e+00,0.000000e+00
40,9.7080073280433787e-01,9.7080073280433787e-01,0.000e+00,0,0,568,568,0.000000e+00,0.000000e+00,0.000000e+00
60,9.7080073280433787e-01,9.7080073280433787e-01,0.000e+00,0,0,437,437,0.000000e+00,0.000000e+00,0.000000e+00
80,9.7080073280433798e-01,9.7080073280433798e-01,0.000e+00,0,0,292,292,0.000000e+00,0.000000e+00,0.000000e+00
100,9.7080073280433821e-01,9.7080073280433821e-01,0.000e+00,0,0,194,194,0.000000e+00,0.000000e+00,0.000000e+00
